Container after function stores 700 shapes:
Sphere: r = 1; Density = 22; SurfaceArea = 12.566370614359172
Parallelepiped: a = 8, b = 6, c = 11; Density = 9; SurfaceArea = 404.0
Sphere: r = 11; Density = 28; SurfaceArea = 1520.53084433746
Tetrahedron: a = 25; Density = 3; SurfaceArea = 1082.5317547305483
Parallelepiped: a = 17, b = 30, c = 3; Density = 24; SurfaceArea = 1302.0
Parallelepiped: a = 5, b = 14, c = 15; Density = 5; SurfaceArea = 710.0
Tetrahedron: a = 25; Density = 13; SurfaceArea = 1082.5317547305483
Parallelepiped: a = 27, b = 12, c = 12; Density = 8; SurfaceArea = 1584.0
Tetrahedron: a = 10; Density = 4; SurfaceArea = 173.20508075688772
Parallelepiped: a = 30, b = 4, c = 1; Density = 26; SurfaceArea = 308.0
Parallelepiped: a = 3, b = 23, c = 13; Density = 15; SurfaceArea = 814.0
Tetrahedron: a = 17; Density = 20; SurfaceArea = 500.5626833874055
Sphere: r = 9; Density = 16; SurfaceArea = 1017.8760197630929
Tetrahedron: a = 26; Density = 24; SurfaceArea = 1170.866345916561
Parallelepiped: a = 18, b = 1, c = 6; Density = 2; SurfaceArea = 264.0
Sphere: r = 12; Density = 26; SurfaceArea = 1809.5573684677208
Tetrahedron: a = 27; Density = 2; SurfaceArea = 1262.6650387177115
Parallelepiped: a = 6, b = 19, c = 14; Density = 30; SurfaceArea = 928.0
Parallelepiped: a = 2, b = 18, c = 16; Density = 18; SurfaceArea = 712.0
Tetrahedron: a = 5; Density = 3; SurfaceArea = 43.30127018922193
Parallelepiped: a = 10, b = 12, c = 22; Density = 7; SurfaceArea = 1208.0
Parallelepiped: a = 23, b = 12, c = 6; Density = 2; SurfaceArea = 972.0
Tetrahedron: a = 11; Density = 8; SurfaceArea = 209.57814771583415
Parallelepiped: a = 14, b = 13, c = 30; Density = 23; SurfaceArea = 1984.0
Sphere: r = 4; Density = 24; SurfaceArea = 201.06192982974676
Parallelepiped: a = 18, b = 10, c = 6; Density = 27; SurfaceArea = 696.0
