Container stores 5000 shapes:
Parallelepiped: a = 4, b = 2, c = 22; Density = 10; SurfaceArea = 280.0
Sphere: r = 3; Density = 8; SurfaceArea = 113.09733552923255
Sphere: r = 17; Density = 29; SurfaceArea = 3631.681107549801
Sphere: r = 11; Density = 28; SurfaceArea = 1520.53084433746
Parallelepiped: a = 9, b = 10, c = 27; Density = 23; SurfaceArea = 1206.0
Parallelepiped: a = 18, b = 3, c = 1; Density = 16; SurfaceArea = 150.0
Tetrahedron: a = 23; Density = 27; SurfaceArea = 916.2548772039361
Tetrahedron: a = 30; Density = 19; SurfaceArea = 1558.8457268119894
Tetrahedron: a = 11; Density = 25; SurfaceArea = 209.57814771583415
Tetrahedron: a = 15; Density = 27; SurfaceArea = 389.71143170299734
Sphere: r = 24; Density = 28; SurfaceArea = 7238.229473870883
Parallelepiped: a = 11, b = 6, c = 7; Density = 16; SurfaceArea = 370.0
Sphere: r = 20; Density = 19; SurfaceArea = 5026.548245743669
Parallelepiped: a = 3, b = 9, c = 21; Density = 1; SurfaceArea = 558.0
Tetrahedron: a = 30; Density = 17; SurfaceArea = 1558.8457268119894
Parallelepiped: a = 18, b = 17, c = 4; Density = 22; SurfaceArea = 892.0
Tetrahedron: a = 14; Density = 27; SurfaceArea = 339.4819582834999
Tetrahedron: a = 15; Density = 11; SurfaceArea = 389.71143170299734
Tetrahedron: a = 9; Density = 16; SurfaceArea = 140.29611541307906
Parallelepiped: a = 9, b = 10, c = 24; Density = 30; SurfaceArea = 1092.0
Sphere: r = 6; Density = 8; SurfaceArea = 452.3893421169302
Parallelepiped: a = 25, b = 3, c = 1; Density = 6; SurfaceArea = 206.0
Sphere: r = 8; Density = 16; SurfaceArea = 804.247719318987
Tetrahedron: a = 20; Density = 4; SurfaceArea = 692.8203230275509
Parallelepiped: a = 23, b = 3, c = 19; Density = 25; SurfaceArea = 1126.0
Parallelepiped: a = 18, b = 10, c = 23; Density = 24; SurfaceArea = 1648.0
Parallelepiped: a = 25, b = 3, c = 26; Density = 30; SurfaceArea = 1606.0
Parallelepiped: a = 16, b = 13, c = 7; Density = 15; SurfaceArea = 822.0
Parallelepiped: a = 11, b = 8, c = 9; Density = 19; SurfaceArea = 518.0
Sphere: r = 16; Density = 28; SurfaceArea = 3216.990877275948
Parallelepiped: a = 6, b = 18, c = 16; Density = 18; SurfaceArea = 984.0
Parallelepiped: a = 24, b = 18, c = 17; Density = 2; SurfaceArea = 2292.0
Tetrahedron: a = 14; Density = 27; SurfaceArea = 339.4819582834999
Tetrahedron: a = 23; Density = 6; SurfaceArea = 916.2548772039361
Sphere: r = 16; Density = 23; SurfaceArea = 3216.990877275948
Parallelepiped: a = 8, b = 9, c = 5; Density = 30; SurfaceArea = 314.0
Parallelepiped: a = 27, b = 7, c = 22; Density = 2; SurfaceArea = 1874.0
Sphere: r = 8; Density = 19; SurfaceArea = 804.247719318987
Parallelepiped: a = 15, b = 11, c = 22; Density = 17; SurfaceArea = 1474.0
Sphere: r = 5; Density = 10; SurfaceArea = 314.1592653589793
Parallelepiped: a = 9, b = 30, c = 24; Density = 27; SurfaceArea = 2412.0
Sphere: r = 14; Density = 30; SurfaceArea = 2463.0086404143976
Parallelepiped: a = 14, b = 6, c = 18; Density = 9; SurfaceArea = 888.0
Tetrahedron: a = 17; Density = 15; SurfaceArea = 500.5626833874055
Tetrahedron: a = 27; Density = 19; SurfaceArea = 1262.6650387177115
Sphere: r = 1; Density = 7; SurfaceArea = 12.566370614359172
Sphere: r = 13; Density = 19; SurfaceArea = 2123.7166338267
Tetrahedron: a = 6; Density = 16; SurfaceArea = 62.35382907247958
Tetrahedron: a = 25; Density = 6; SurfaceArea = 1082.5317547305483
Tetrahedron: a = 14; Density = 14; SurfaceArea = 339.4819582834999
Parallelepiped: a = 9, b = 30, c = 7; Density = 7; SurfaceArea = 1086.0
Parallelepiped: a = 11, b = 12, c = 7; Density = 8; SurfaceArea = 586.0
Sphere: r = 25; Density = 1; SurfaceArea = 7853.981633974483
Tetrahedron: a = 9; Density = 27; SurfaceArea = 140.29611541307906
Tetrahedron: a = 19; Density = 26; SurfaceArea = 625.2703415323647
Sphere: r = 15; Density = 23; SurfaceArea = 2827.4333882308138
Tetrahedron: a = 20; Density = 30; SurfaceArea = 692.8203230275509
Parallelepiped: a = 6, b = 13, c = 29; Density = 22; SurfaceArea = 1258.0
Sphere: r = 12; Density = 21; SurfaceArea = 1809.5573684677208
Tetrahedron: a = 5; Density = 25; SurfaceArea = 43.30127018922193
Tetrahedron: a = 8; Density = 30; SurfaceArea = 110.85125168440814
Sphere: r = 13; Density = 20; SurfaceArea = 2123.7166338267
Tetrahedron: a = 13; Density = 9; SurfaceArea = 292.71658647914023
Parallelepiped: a = 9, b = 14, c = 27; Density = 30; SurfaceArea = 1494.0
Sphere: r = 2; Density = 13; SurfaceArea = 50.26548245743669
Sphere: r = 18; Density = 28; SurfaceArea = 4071.5040790523717
Sphere: r = 27; Density = 12; SurfaceArea = 9160.884177867836
Tetrahedron: a = 26; Density = 23; SurfaceArea = 1170.866345916561
Tetrahedron: a = 30; Density = 12; SurfaceArea = 1558.8457268119894
Tetrahedron: a = 26; Density = 3; SurfaceArea = 1170.866345916561
Parallelepiped: a = 12, b = 3, c = 11; Density = 9; SurfaceArea = 402.0
Tetrahedron: a = 30; Density = 17; SurfaceArea = 1558.8457268119894
Tetrahedron: a = 11; Density = 8; SurfaceArea = 209.57814771583415
Tetrahedron: a = 6; Density = 5; SurfaceArea = 62.35382907247958
Tetrahedron: a = 15; Density = 11; SurfaceArea = 389.71143170299734
Parallelepiped: a = 8, b = 23, c = 14; Density = 29; SurfaceArea = 1236.0
Tetrahedron: a = 7; Density = 18; SurfaceArea = 84.87048957087498
Sphere: r = 10; Density = 11; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 4; Density = 18; SurfaceArea = 27.712812921102035
Sphere: r = 18; Density = 12; SurfaceArea = 4071.5040790523717
Parallelepiped: a = 9, b = 6, c = 4; Density = 4; SurfaceArea = 228.0
Tetrahedron: a = 12; Density = 21; SurfaceArea = 249.4153162899183
Tetrahedron: a = 29; Density = 27; SurfaceArea = 1456.6547291654258
Sphere: r = 15; Density = 3; SurfaceArea = 2827.4333882308138
Parallelepiped: a = 8, b = 29, c = 23; Density = 30; SurfaceArea = 2166.0
Tetrahedron: a = 9; Density = 17; SurfaceArea = 140.29611541307906
Sphere: r = 9; Density = 23; SurfaceArea = 1017.8760197630929
Tetrahedron: a = 12; Density = 7; SurfaceArea = 249.4153162899183
Parallelepiped: a = 22, b = 29, c = 12; Density = 14; SurfaceArea = 2500.0
Parallelepiped: a = 8, b = 23, c = 28; Density = 6; SurfaceArea = 2104.0
Sphere: r = 26; Density = 24; SurfaceArea = 8494.8665353068
Tetrahedron: a = 4; Density = 25; SurfaceArea = 27.712812921102035
